#            P[bar]TiO2                   VO                     Al2O3                  SiO2                   Mg1.2SiO3.2            H2O                    Fe                     FeS                    C                      SiC                                   T[K]
     3.4807006E-001         1.8329944E+003         1.7342164E+003         2.0008849E+003         2.3245072E+003         2.0449286E+003         2.0973872E+002         1.8434902E+003         1.7817395E+003         1.2301275E+002         1.0277970E+002
     3.1622777E-001         1.8287362E+003         1.7304093E+003         1.9958008E+003         2.3168088E+003         2.0389455E+003         2.0907103E+002         1.8365062E+003         1.7752234E+003         1.2301275E+002         1.0277970E+002
     2.8729848E-001         1.8244981E+003         1.7266191E+003         1.9907429E+003         2.3091622E+003         2.0329978E+003         2.0840765E+002         1.8295761E+003         1.7687556E+003         1.2301275E+002         1.0277970E+002
     2.6101572E-001         1.8202797E+003         1.7228456E+003         1.9857108E+003         2.3015667E+003         2.0270853E+003         2.0774854E+002         1.8226990E+003         1.7623357E+003         1.2301275E+002         1.0277970E+002
     2.3713737E-001         1.8160811E+003         1.7190888E+003         1.9807045E+003         2.2940218E+003         2.0212075E+003         2.0709365E+002         1.8158745E+003         1.7559631E+003         1.2301275E+002         1.0277970E+002
     2.1544347E-001         1.8119020E+003         1.7153485E+003         1.9757237E+003         2.2865271E+003         2.0153642E+003         2.0644294E+002         1.8091018E+003         1.7496373E+003         1.2301275E+002         1.0277970E+002
     1.9573418E-001         1.8077424E+003         1.7116246E+003         1.9707682E+003         2.2790821E+003         2.0095552E+003         2.0579638E+002         1.8023805E+003         1.7433577E+003         1.2301275E+002         1.0277970E+002
     1.7782794E-001         1.8036020E+003         1.7079171E+003         1.9658378E+003         2.2716862E+003         2.0037800E+003         2.0515392E+002         1.7957098E+003         1.7371239E+003         1.2301275E+002         1.0277970E+002
     1.6155981E-001         1.7995025E+003         1.7042452E+003         1.9609582E+003         2.2643776E+003         1.9980686E+003         2.0451888E+002         1.7891242E+003         1.7309680E+003         1.2301275E+002         1.0277970E+002
     1.4677993E-001         1.7954218E+003         1.7005893E+003         1.9561030E+003         2.2571167E+003         1.9923902E+003         2.0388783E+002         1.7825876E+003         1.7248562E+003         1.2301275E+002         1.0277970E+002
     1.3335214E-001         1.7913598E+003         1.6969491E+003         1.9512722E+003         2.2499029E+003         1.9867445E+003         2.0326072E+002         1.7760995E+003         1.7187883E+003         1.2301275E+002         1.0277970E+002
     1.2115277E-001         1.7873164E+003         1.6933247E+003         1.9464655E+003         2.2427359E+003         1.9811312E+003         2.0263752E+002         1.7696593E+003         1.7127637E+003         1.2301275E+002         1.0277970E+002
     1.1006942E-001         1.7832913E+003         1.6897160E+003         1.9416827E+003         2.2356152E+003         1.9755499E+003         2.0201819E+002         1.7632665E+003         1.7067820E+003         1.2301275E+002         1.0277970E+002
     1.0000000E-001         1.7792846E+003         1.6861227E+003         1.9369236E+003         2.2285403E+003         1.9700004E+003         2.0140269E+002         1.7569207E+003         1.7008426E+003         1.2301275E+002         1.0277970E+002
     9.0851758E-002         1.7752961E+003         1.6825449E+003         1.9321881E+003         2.2215107E+003         1.9644825E+003         2.0079100E+002         1.7506212E+003         1.6949452E+003         1.2301275E+002         1.0277970E+002
     8.2540419E-002         1.7713256E+003         1.6789823E+003         1.9274760E+003         2.2145261E+003         1.9589959E+003         2.0018306E+002         1.7443675E+003         1.6890893E+003         1.2301275E+002         1.0277970E+002
     7.4989421E-002         1.7673730E+003         1.6754350E+003         1.9227871E+003         2.2075860E+003         1.9535403E+003         1.9957886E+002         1.7381592E+003         1.6832744E+003         1.2301275E+002         1.0277970E+002
     6.8129207E-002         1.7634382E+003         1.6719029E+003         1.9181213E+003         2.2006900E+003         1.9481154E+003         1.9897834E+002         1.7319958E+003         1.6775002E+003         1.2301275E+002         1.0277970E+002
     6.1896582E-002         1.7596394E+003         1.6684919E+003         1.9136185E+003         2.1940443E+003         1.9428838E+003         1.9839950E+002         1.7260612E+003         1.6719390E+003         1.2301275E+002         1.0277970E+002
     5.6234133E-002         1.7558571E+003         1.6650950E+003         1.9091370E+003         2.1874393E+003         1.9376806E+003         1.9782406E+002         1.7201679E+003         1.6664153E+003         1.2301275E+002         1.0277970E+002
