#            P[bar]       dens[g/cm^3]                 xn                   TiO2                     VO                  Al2O3                   SiO2            Mg1.2SiO3.2                    H2O                     Fe                    FeS                      C                    SiC                    MgO          r[micron]               T[K]              Jstar
     2.6101572E+001     4.0980102E-004     4.5683036E-018         3.6143168E-009         2.8938156E-010         7.2999384E-008         0.0000000E+000         1.6518278E-006         0.0000000E+000         6.0574058E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.4532912E-007     7.5641842E-004     1.7861425E+003     9.8767406E-010
     2.3713737E+001     3.7230002E-004     5.9707200E-018         3.4660608E-009         2.7753160E-010         7.0016413E-008         0.0000000E+000         1.5846939E-006         0.0000000E+000         5.3526402E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.3747816E-007     6.7211184E-004     1.7861420E+003     1.1853717E-009
     2.1544347E+001     3.3823075E-004     7.7532064E-018         3.3292894E-009         2.6660467E-010         6.7267386E-008         0.0000000E+000         1.5229176E-006         0.0000000E+000         4.6851249E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2977061E-007     5.9876607E-004     1.7861415E+003     1.4201737E-009
     1.9573418E+001     3.0728457E-004     1.0014296E-017         3.2021557E-009         2.5645376E-010         6.4715490E-008         0.0000000E+000         1.4656818E-006         0.0000000E+000         4.0602941E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2205854E-007     5.3456243E-004     1.7861413E+003     1.6985602E-009
     1.7782794E+001     2.7916978E-004     1.2856769E-017         3.0839279E-009         2.4702124E-010         6.2346487E-008         0.0000000E+000         1.4126823E-006         0.0000000E+000         3.4855498E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.1423444E-007     4.7841549E-004     1.7861411E+003     2.0279930E-009
     1.6155981E+001     2.5362734E-004     1.6410778E-017         2.9734765E-009         2.3821782E-010         6.0138214E-008         0.0000000E+000         1.3634390E-006         0.0000000E+000         2.9653948E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.0616328E-007     4.2917331E-004     1.7861410E+003     2.4171186E-009
     1.4677993E+001     2.3042188E-004     2.0831177E-017         2.8697849E-009         2.2996342E-010         5.8070888E-008         0.0000000E+000         1.3175294E-006         0.0000000E+000         2.5022616E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         9.7706788E-008     3.8586725E-004     1.7861408E+003     2.8759113E-009
     1.3335214E+001     2.0933959E-004     2.6301353E-017         2.7719251E-009         2.2218523E-010         5.6126627E-008         0.0000000E+000         1.2745780E-006         0.0000000E+000         2.0962841E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         8.8724978E-008     3.4767792E-004     1.7861406E+003     3.4158520E-009
     1.2115277E+001     1.9018621E-004     3.3037531E-017         2.6790402E-009         2.1481635E-010         5.4289094E-008         0.0000000E+000         1.2342489E-006         0.0000000E+000         1.7454638E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         7.9079255E-008     3.1390924E-004     1.7861404E+003     4.0501267E-009
     1.1006942E+001     1.7278526E-004     4.1293604E-017         2.5903304E-009         2.0779463E-010         5.2543227E-008         0.0000000E+000         1.1962399E-006         0.0000000E+000         1.4461079E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         6.8637325E-008     2.8396809E-004     1.7861402E+003     4.7938473E-009
     1.0000000E+001     1.5697639E-004     5.1366554E-017         2.5050426E-009         2.0106182E-010         5.0875020E-008         0.0000000E+000         1.1602783E-006         0.0000000E+000         1.1933929E-007         0.0000000E+000         0.0000000E+000         0.0000000E+000         5.7279958E-008     2.5734802E-004     1.7861400E+003     5.6642942E-009
     9.0851758E+000     1.4261395E-004     6.3602552E-017         2.4224615E-009         1.9456291E-010         4.9271345E-008         0.0000000E+000         1.1261173E-006         0.0000000E+000         9.8192170E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         4.4909532E-008     2.3361605E-004     1.7861399E+003     6.6811837E-009
     8.2540419E+000     1.2956558E-004     7.8403832E-017         2.3419027E-009         1.8824546E-010         4.7719798E-008         0.0000000E+000         1.0935331E-006         0.0000000E+000         8.0619090E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         3.1460126E-008     2.1240162E-004     1.7861397E+003     7.8669620E-009
     7.4989421E+000     1.1771196E-004     9.6301622E-017         2.2624754E-009         1.8204077E-010         4.6203967E-008         0.0000000E+000         1.0622216E-006         0.0000000E+000         6.6073066E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.6888813E-008     1.9332978E-004     1.7861396E+003     9.2471726E-009
     6.8129207E+000     1.0694280E-004     1.1779029E-016         2.1838033E-009         1.7592103E-010         4.4717722E-008         0.0000000E+000         1.0321142E-006         0.0000000E+000         5.4099535E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         1.2447389E-009     1.7620104E-004     1.7861395E+003     1.0850678E-008
     6.1896582E+000     9.7158874E-005     1.4349786E-016         2.1052578E-009         1.6983823E-010         4.3249872E-008         2.2925539E-008         9.6473415E-007         0.0000000E+000         4.4269061E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.6077784E-004     1.7861395E+003     1.2710155E-008
     5.6234133E+000     8.8270059E-005     1.7414817E-016         2.0262300E-009         1.6374552E-010         4.1789479E-008         4.8919748E-008         8.9309864E-007         0.0000000E+000         3.6211681E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.4685749E-004     1.7861394E+003     1.4862463E-008
     5.1089698E+000     8.0194458E-005     2.1057455E-016         1.9461343E-009         1.5759731E-010         4.0325793E-008         7.5770458E-008         8.2075465E-007         0.0000000E+000         2.9614206E-008         0.0000000E+000         0.0000000E+000         0.0000000E+000         0.0000000E+000     1.3426667E-004     1.7861393E+003     1.7349093E-008
